tx_id,trace_steps,challenge_timeout,max_bisection_rounds,sample_index,mutated_step,bisection_rounds,expected_log2_rounds,challenge_step_calls,timed_out_detected,recover_status,recover_count,target_step,replay_passed,challenge_success,final_status
challenge-t4-to2-r16-s22,4,2,16,22,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s23,4,2,16,23,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s24,4,2,16,24,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s25,4,2,16,25,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s26,4,2,16,26,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s27,4,2,16,27,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s28,4,2,16,28,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s29,4,2,16,29,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s30,4,2,16,30,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s31,4,2,16,31,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s32,4,2,16,32,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s33,4,2,16,33,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s34,4,2,16,34,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s35,4,2,16,35,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s36,4,2,16,36,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s37,4,2,16,37,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s38,4,2,16,38,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s39,4,2,16,39,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s40,4,2,16,40,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s41,4,2,16,41,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s42,4,2,16,42,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s43,4,2,16,43,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s44,4,2,16,44,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s45,4,2,16,45,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s46,4,2,16,46,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s47,4,2,16,47,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s48,4,2,16,48,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s49,4,2,16,49,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s50,4,2,16,50,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s51,4,2,16,51,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s52,4,2,16,52,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s53,4,2,16,53,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s54,4,2,16,54,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s55,4,2,16,55,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s56,4,2,16,56,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s57,4,2,16,57,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s58,4,2,16,58,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s59,4,2,16,59,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s60,4,2,16,60,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s61,4,2,16,61,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s62,4,2,16,62,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s63,4,2,16,63,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s64,4,2,16,64,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s65,4,2,16,65,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s66,4,2,16,66,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s67,4,2,16,67,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s68,4,2,16,68,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s69,4,2,16,69,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s70,4,2,16,70,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s71,4,2,16,71,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s72,4,2,16,72,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s73,4,2,16,73,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s74,4,2,16,74,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s75,4,2,16,75,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s76,4,2,16,76,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s77,4,2,16,77,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s78,4,2,16,78,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s79,4,2,16,79,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s80,4,2,16,80,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s81,4,2,16,81,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s82,4,2,16,82,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s83,4,2,16,83,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s84,4,2,16,84,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s85,4,2,16,85,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s86,4,2,16,86,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s87,4,2,16,87,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s88,4,2,16,88,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s89,4,2,16,89,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s90,4,2,16,90,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s91,4,2,16,91,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s92,4,2,16,92,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s93,4,2,16,93,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s94,4,2,16,94,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s95,4,2,16,95,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s96,4,2,16,96,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s97,4,2,16,97,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s98,4,2,16,98,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s99,4,2,16,99,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t4-to2-r16-s100,4,2,16,100,2,2,2,2,True,RECOVERED,1,2,False,True,SLASHED
challenge-t8-to2-r16-s1,8,2,16,1,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s2,8,2,16,2,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s3,8,2,16,3,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s4,8,2,16,4,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s5,8,2,16,5,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s6,8,2,16,6,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s7,8,2,16,7,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s8,8,2,16,8,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s9,8,2,16,9,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s10,8,2,16,10,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s11,8,2,16,11,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s12,8,2,16,12,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s13,8,2,16,13,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s14,8,2,16,14,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s15,8,2,16,15,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s16,8,2,16,16,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s17,8,2,16,17,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s18,8,2,16,18,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s19,8,2,16,19,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s20,8,2,16,20,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s21,8,2,16,21,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s22,8,2,16,22,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s23,8,2,16,23,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s24,8,2,16,24,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s25,8,2,16,25,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s26,8,2,16,26,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s27,8,2,16,27,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s28,8,2,16,28,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s29,8,2,16,29,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s30,8,2,16,30,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s31,8,2,16,31,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s32,8,2,16,32,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s33,8,2,16,33,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s34,8,2,16,34,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s35,8,2,16,35,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s36,8,2,16,36,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s37,8,2,16,37,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s38,8,2,16,38,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s39,8,2,16,39,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s40,8,2,16,40,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s41,8,2,16,41,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s42,8,2,16,42,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s43,8,2,16,43,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s44,8,2,16,44,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s45,8,2,16,45,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s46,8,2,16,46,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s47,8,2,16,47,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s48,8,2,16,48,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s49,8,2,16,49,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s50,8,2,16,50,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s51,8,2,16,51,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s52,8,2,16,52,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s53,8,2,16,53,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s54,8,2,16,54,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s55,8,2,16,55,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s56,8,2,16,56,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s57,8,2,16,57,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s58,8,2,16,58,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s59,8,2,16,59,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s60,8,2,16,60,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s61,8,2,16,61,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s62,8,2,16,62,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s63,8,2,16,63,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s64,8,2,16,64,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s65,8,2,16,65,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s66,8,2,16,66,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s67,8,2,16,67,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s68,8,2,16,68,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s69,8,2,16,69,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s70,8,2,16,70,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s71,8,2,16,71,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s72,8,2,16,72,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s73,8,2,16,73,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s74,8,2,16,74,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s75,8,2,16,75,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s76,8,2,16,76,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s77,8,2,16,77,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s78,8,2,16,78,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s79,8,2,16,79,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s80,8,2,16,80,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s81,8,2,16,81,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s82,8,2,16,82,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s83,8,2,16,83,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s84,8,2,16,84,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s85,8,2,16,85,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s86,8,2,16,86,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s87,8,2,16,87,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s88,8,2,16,88,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s89,8,2,16,89,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s90,8,2,16,90,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s91,8,2,16,91,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s92,8,2,16,92,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s93,8,2,16,93,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s94,8,2,16,94,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s95,8,2,16,95,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s96,8,2,16,96,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s97,8,2,16,97,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s98,8,2,16,98,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s99,8,2,16,99,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t8-to2-r16-s100,8,2,16,100,4,3,3,3,True,RECOVERED,1,4,False,True,SLASHED
challenge-t16-to2-r16-s1,16,2,16,1,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s2,16,2,16,2,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s3,16,2,16,3,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s4,16,2,16,4,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s5,16,2,16,5,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s6,16,2,16,6,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s7,16,2,16,7,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s8,16,2,16,8,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s9,16,2,16,9,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s10,16,2,16,10,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s11,16,2,16,11,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s12,16,2,16,12,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s13,16,2,16,13,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s14,16,2,16,14,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s15,16,2,16,15,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s16,16,2,16,16,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s17,16,2,16,17,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s18,16,2,16,18,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s19,16,2,16,19,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s20,16,2,16,20,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s21,16,2,16,21,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s22,16,2,16,22,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s23,16,2,16,23,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s24,16,2,16,24,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s25,16,2,16,25,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s26,16,2,16,26,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s27,16,2,16,27,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s28,16,2,16,28,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s29,16,2,16,29,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s30,16,2,16,30,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s31,16,2,16,31,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s32,16,2,16,32,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s33,16,2,16,33,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s34,16,2,16,34,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s35,16,2,16,35,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s36,16,2,16,36,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s37,16,2,16,37,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s38,16,2,16,38,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s39,16,2,16,39,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s40,16,2,16,40,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s41,16,2,16,41,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s42,16,2,16,42,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s43,16,2,16,43,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s44,16,2,16,44,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s45,16,2,16,45,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s46,16,2,16,46,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s47,16,2,16,47,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s48,16,2,16,48,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s49,16,2,16,49,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
challenge-t16-to2-r16-s50,16,2,16,50,8,4,4,4,True,RECOVERED,1,8,False,True,SLASHED
